User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10)
U0001,56,Female,4.7,7,4,1,4,Instagram,2
U0002,46,Female,2.7,10,4,0,7,LinkedIn,4
U0003,32,Female,6.9,9,10,5,4,Facebook,3
U0004,25,Male,2,2,2,4,3,X (Twitter),5
U0005,38,Female,8.5,10,9,3,4,LinkedIn,1
U0006,56,Male,3.2,1,3,2,3,TikTok,7
U0007,36,Female,5.7,1,1,0,0,Instagram,4
U0008,40,Male,6.4,,5,,1,,6
U0009,28,Male,4.3,9,10,7,3,TikTok,2
U0010,28,Female,7,4,3,1,5,Instagram,4
U0011,41,Male,3.3,3,6,4,5,LinkedIn,5
U0012,53,Female,1.3,10,1,6,5,Instagram,6
U0013,57,Male,9.6,8,10,7,5,Facebook,1
U0014,41,Male,3.9,9,4,6,,Instagram,4
U0015,20,,7.4,5,1,2,,,2
U0016,39,Female,,,1,5,,Facebook,10
U0017,19,Male,7,4,10,5,3,YouTube,1
U0018,41,Female,2,10,8,7,0,X (Twitter),9
U0019,47,Male,5.7,8,10,2,2,,1
U0020,55,Male,4.5,2,4,4,2,LinkedIn,2
U0021,19,Male,5.1,9,10,4,7,Facebook,9
U0022,38,,9.7,5,3,4,0,X (Twitter),8
U0023,50,Female,2.2,7,6,0,4,Facebook,10
U0024,29,,7.8,5,10,1,1,LinkedIn,10
U0025,39,Female,4,3,9,2,,YouTube,10
U0026,42,Female,3.6,2,6,6,3,,4
U0027,44,Male,,3,1,3,6,LinkedIn,2
U0028,59,Female,4.1,2,8,4,2,LinkedIn,8
U0029,45,Male,4.2,2,1,6,0,LinkedIn,3
U0030,33,Female,3.4,2,3,1,6,,10
U0031,32,Female,7,2,9,3,4,LinkedIn,1
U0032,,Male,1.4,8,,0,0,TikTok,2
U0033,54,Male,4,5,8,7,2,LinkedIn,4
U0034,24,Other,3.5,9,9,2,0,TikTok,1
U0035,38,Female,7.8,5,8,1,0,Facebook,6
U0036,26,Female,2.3,1,6,6,0,Facebook,4
U0037,56,Male,9.5,8,9,7,3,Instagram,6
U0038,35,Male,2.5,3,6,1,4,TikTok,5
U0039,21,,,10,5,2,7,LinkedIn,4
U0040,,Male,2.8,10,8,2,1,X (Twitter),7
U0041,31,Female,3.6,2,4,5,6,Facebook,7
U0042,26,Female,7.8,6,3,6,6,LinkedIn,4
U0043,43,Female,5.3,4,4,4,4,TikTok,4
U0044,19,Male,2.5,4,9,6,2,YouTube,4
U0045,37,Female,1.4,9,4,7,6,LinkedIn,8
U0046,45,Female,3.1,10,7,2,1,Facebook,5
U0047,24,Female,9.5,8,1,1,5,Instagram,5
U0048,25,Female,8.6,,6,4,3,TikTok,9
U0049,52,Other,5,9,8,6,1,,10
U0050,31,Female,,1,7,2,1,Instagram,6
U0051,34,Male,9.1,7,5,7,1,Instagram,4
U0052,53,Male,6.3,7,4,3,0,YouTube,7
U0053,57,Other,8.9,2,2,6,7,Instagram,8
U0054,21,Female,5.4,7,1,3,2,Facebook,7
U0055,19,Male,2.8,7,1,2,5,Facebook,6
U0056,23,Male,7.5,,5,5,3,LinkedIn,2
U0057,59,Female,5.7,6,9,6,7,X (Twitter),5
U0058,21,Other,7,10,7,1,5,TikTok,6
U0059,46,,,10,2,4,2,TikTok,2
U0060,35,Female,6.8,9,6,5,0,YouTube,9
U0061,43,Female,4.4,3,10,4,3,TikTok,10
U0062,51,Male,4,8,7,4,6,Instagram,4
U0063,27,Male,7,4,8,0,5,Facebook,5
U0064,53,,6.3,1,9,7,,Instagram,5
U0065,31,Female,6.8,7,3,2,,TikTok,7
U0066,48,Female,9.7,3,2,,3,,9
U0067,32,Female,7.3,4,7,0,3,LinkedIn,9
U0068,,Male,6.8,3,8,5,7,X (Twitter),6
U0069,31,Female,6.5,6,9,0,,TikTok,9
U0070,40,Male,4.6,10,10,3,0,YouTube,4
U0071,57,,8.6,1,5,4,2,Facebook,5
U0072,38,Male,4.4,10,9,0,6,Instagram,5
U0073,33,Male,7.3,7,1,6,7,,5
,35,Female,3.6,10,9,1,6,Facebook,1
U0075,41,Female,2.3,8,10,2,5,LinkedIn,7
U0076,,Female,2.2,3,5,,0,Instagram,6
U0077,42,Male,6.7,9,2,1,5,TikTok,3
U0078,58,Female,4,2,6,7,0,TikTok,8
U0079,46,Female,3.5,10,1,4,0,,6
U0080,32,Female,6.3,10,7,3,4,TikTok,9
U0081,18,Female,1.2,9,,1,4,YouTube,7
U0082,42,Male,3.2,5,10,1,4,YouTube,8
U0083,24,Male,4.1,,8,5,4,Instagram,9
,26,Male,7.4,2,1,6,7,Instagram,6
U0085,41,Female,5.9,,2,0,0,Facebook,8
U0086,18,Other,8.7,6,1,1,6,X (Twitter),2
U0087,25,Male,4,5,8,3,7,Facebook,1
U0088,41,Male,3.7,4,8,7,2,LinkedIn,9
U0089,28,Male,1.3,8,3,7,1,X (Twitter),10
U0090,34,,9.6,2,10,1,0,TikTok,6
U0091,25,Male,5.5,1,2,1,5,TikTok,10
U0092,52,Male,5.5,2,9,7,2,Facebook,10
U0093,52,Male,9.3,4,5,7,7,YouTube,3
,50,Female,3.6,,9,4,1,YouTube,3
U0095,22,Female,4,9,2,5,1,Instagram,8
U0096,59,,6.9,1,6,3,4,Instagram,3
U0097,56,Male,8.1,,1,,1,Facebook,10
U0098,58,Male,7.3,8,7,4,5,YouTube,6
U0099,45,Male,8.1,9,4,2,5,TikTok,6
U0100,24,Male,6.2,9,7,1,2,LinkedIn,5
U0101,26,Male,8.8,8,,1,4,TikTok,7
,25,Male,6,6,1,4,0,YouTube,4
U0103,29,Female,3.1,,1,5,0,Facebook,10
U0104,51,Male,5.9,9,7,7,7,,6
U0105,50,Male,7.4,2,10,4,4,Facebook,1
U0106,40,Female,6.9,3,2,,6,YouTube,3
U0107,41,Female,3.2,6,8,4,4,,7
U0108,54,Female,1.4,8,4,7,1,,9
U0109,52,Female,3.3,7,7,1,6,Facebook,1
U0110,,Male,9.9,8,10,0,1,X (Twitter),4
U0111,39,Female,2.7,5,2,7,2,TikTok,7
U0112,44,Female,5.2,9,8,7,4,X (Twitter),10
U0113,52,Male,6.7,6,6,7,7,YouTube,9
U0114,18,,8.9,10,1,0,0,TikTok,8
U0115,52,Female,7.8,2,9,,2,X (Twitter),2
U0116,54,Male,9.2,6,2,0,0,LinkedIn,2
U0117,31,,,4,4,2,6,Facebook,9
U0118,20,Male,8.8,5,9,7,0,Facebook,2
,,Male,3.4,5,8,0,2,,10
U0120,22,Male,4.9,1,8,0,7,,7
U0121,43,Male,8.6,10,4,1,,LinkedIn,10
U0122,31,,3.9,5,1,5,4,X (Twitter),9
U0123,56,Male,,10,10,,6,YouTube,8
U0124,44,,4.3,9,4,4,5,,5
U0125,26,Male,4.3,8,3,6,4,Instagram,2
U0126,32,Female,3.8,8,3,1,7,Instagram,6
U0127,32,Female,5.9,3,1,,2,,7
U0128,43,Female,,,9,0,0,Facebook,10
,59,Female,1.3,9,3,6,0,Facebook,7
U0130,30,Male,9.1,10,4,7,1,Instagram,5
U0131,49,Male,9.4,7,1,2,3,Instagram,10
U0132,56,Female,1.7,6,3,1,2,LinkedIn,9
U0133,49,Male,5.9,9,1,5,5,,6
U0134,21,Female,5.9,6,4,1,,X (Twitter),10
U0135,47,Female,4.4,3,10,1,2,Instagram,9
U0136,,Male,6.1,,,0,1,YouTube,8
U0137,40,Female,,,10,5,7,LinkedIn,10
,56,Female,5.4,2,8,,7,,9
,32,Male,7.8,7,8,3,7,Facebook,1
U0140,46,Male,,8,1,5,2,Facebook,2
U0141,,Female,3.9,7,6,3,4,Facebook,8
U0142,,Female,6.2,5,8,3,0,X (Twitter),6
,,Male,6.8,4,10,,1,Instagram,1
